ABN,ABX,AP,AT,BE,BED,BEDZ,BEG,BEM,BEN,BER,BEZ,CC,CD,CS,DO,DOD,DOZ,DT,DTI,DTS,EX,HV,HVD,HVG,HVZ,IN,JJ,JJR,JJS,JJT,MD,NIL,NN,NN$,NNS,NP,NP$,NPS,NR,OD,PN,PP$,PPLS,PPO,PPS,PPSS,QL,QLP,RB,RBR,RN,RP,TO,UH,VB,VBD,VBG,VBN,VBZ,WDT,WP$,WPS,WQL,WRB
0.009024500000000001,0.0,0.009024599999999999,0.05672596,0.001719,0.001719,0.0025784000000000002,0.00042974,0.00085948,0.0025784000000000002,0.0047271,0.012033,0.030941600000000003,0.015470699999999997,0.016759919999999998,0.0103137,0.0012892000000000001,0.00042974,0.0120326,0.0030082,0.0042974,0.001719,0.009024500000000001,0.0042974,0.0,0.001719,0.07434339999999999,0.023205840000000005,0.0021487,0.0,0.00128922,0.010313799999999996,0.0,0.09239399999999988,0.0,0.03695703999999999,0.006016399999999999,0.0,0.00429742,0.0017189400000000002,0.0017189400000000002,0.0068758199999999995,0.01804898,0.0,0.023205740000000002,0.01418134,0.05070964,0.00171896,0.0,0.023205840000000002,0.00085948,0.0,0.011602959999999999,0.021917,0.0012892000000000001,0.05113903999999997,0.015041019999999999,0.01504084,0.005586579999999999,0.00343792,0.012891999999999999,0.00042974,0.01117322,0.001719,0.00128922
0.00627968,0.00057088,0.009324419999999998,0.06812547,0.0043768,0.0022835,0.005138,0.00019029,0.0011417999999999999,0.0022835,0.0057088,0.011227,0.0392005,0.009324479999999998,0.025118899999999996,0.0087535,0.00209328,0.0,0.01522358,0.00285438,0.0034253,0.00228349,0.0081827,0.0022835,0.0,0.0036156,0.08715501999999996,0.02816367999999998,0.00057088,0.0,0.0007611699999999999,0.013891469999999996,0.0,0.07992354999999993,0.00019029,0.031208139999999978,0.00780216,0.00019029,0.00190299,0.00228353,0.00228349,0.00456711,0.011417699999999998,0.00019029,0.016555579999999997,0.0076118900000000005,0.05138006000000001,0.00627973,0.0,0.02873461999999998,0.00171264,0.0,0.006850620000000001,0.026641,0.00038059,0.050047580000000064,0.00818265,0.0079924,0.0019029300000000002,0.00133205,0.0068506500000000015,0.0,0.009324490000000001,0.0,0.00513796
0.0061021999999999995,0.0,0.008644879999999997,0.07220988,0.0043224,0.00050852,0.0015255999999999998,0.0,0.00025426,0.0030510999999999997,0.007882,0.007882,0.03915606,0.0071192400000000015,0.02161198,0.0022883599999999997,0.0,0.00025426,0.0157641,0.00050852,0.0040681,0.00076278,0.0094076,0.001017,0.0,0.0050852,0.09916116000000005,0.028222819999999982,0.00177982,0.0,0.00050852,0.016781099999999993,0.00025426,0.07322666000000005,0.00025426,0.04347833999999996,0.00559368,0.0,0.0012713,0.00228832,0.00254252,0.00101704,0.01983194,0.00025426,0.011696,0.0033052999999999997,0.03407046,0.0055937,0.0,0.03127391999999999,0.00203404,0.0,0.0027969,0.019578,0.00025426,0.03457927999999996,0.004830900000000001,0.00610216,0.007627820000000001,0.00050852,0.0022883799999999996,0.0,0.00711916,0.00025426,0.005085179999999999
0.00604285,0.00036623,0.01117006,0.07086568000000001,0.0054935,0.0027467,0.0043948,0.0014649,0.00073247,0.0010987,0.006409100000000001,0.009338899999999999,0.036806399999999996,0.009888280000000003,0.026002629999999992,0.0082402,0.0010987,0.00054935,0.01629735,0.00146493,0.0031130000000000003,0.0021974200000000003,0.00805712,0.0012818,0.0020143,0.0010987,0.08295161999999996,0.027467579999999974,0.00128181,0.0,0.00054935,0.014100050000000003,0.0,0.08038822999999981,0.00018312,0.035158459999999996,0.004577860000000001,0.00054935,0.00164804,0.0020142700000000003,0.00238052,0.00531038,0.0137336,0.0,0.018311629999999995,0.0139169,0.04596264,0.00732467,0.00091558,0.03058038999999997,0.0025636400000000003,0.0,0.007141509999999999,0.026918,0.00054935,0.04468027000000002,0.009522010000000001,0.009705180000000002,0.004577919999999999,0.0014649599999999997,0.00897272,0.00018312,0.009705140000000001,0.00018312,0.00402852
0.005297710000000001,0.0010595000000000001,0.0065693,0.07056543,0.0050858000000000006,0.00042382,0.0010595000000000001,0.00042382,0.00084764,0.0014834000000000002,0.006569199999999999,0.007416809999999999,0.0459842,0.005509610000000001,0.020766909999999993,0.0025429000000000003,0.00042382,0.0,0.01038364,0.0014834100000000001,0.0033906,0.00084764,0.0061454,0.00021191,0.00021191,0.0048739,0.10192766000000002,0.03623671999999999,0.0010595499999999998,0.0,0.00042382,0.01907177,0.0,0.06950627000000002,0.00021191,0.03708424999999999,0.00296676,0.00084764,0.00127146,0.00445013,0.00169528,0.00190719,0.019495169999999996,0.0006357299999999999,0.01017164,0.007416839999999999,0.02966756,0.008476379999999997,0.0,0.027336459999999986,0.0006357299999999999,0.0,0.00190719,0.023522,0.0,0.03623645000000002,0.00402624,0.00423815,0.00847639,0.00084764,0.0027548,0.0,0.0048739,0.00021191,0.00169528
0.00580986,0.00035211,0.009507040000000001,0.061619610000000005,0.008098600000000001,0.002993,0.004577459999999999,0.00088028,0.00052817,0.0014085,0.0070423000000000005,0.00792256,0.0369715,0.00845069,0.022006979999999995,0.010035200000000001,0.00211271,0.00070423,0.01355641,0.00211267,0.0028169000000000002,0.003345,0.00897886,0.002993,0.00035211,0.0012324000000000002,0.08345065000000003,0.023943769999999993,0.00140846,0.0,0.00052817,0.01690141,0.0,0.06830985000000013,0.0,0.03221823999999999,0.005809849999999998,0.0,0.0028168299999999993,0.00140845,0.00140846,0.00299297,0.01584509,0.00017606,0.019718310000000003,0.011619659999999999,0.06443686000000001,0.004577399999999999,0.00088028,0.024471789999999993,0.00211267,0.0,0.006514129999999999,0.025352,0.00052817,0.05492977000000002,0.01056347,0.005633879999999997,0.0044014300000000004,0.00158451,0.0061619,0.0,0.01126766,0.00035211,0.00510565
0.00605467,0.00048828,0.012304722000000002,0.06650358999999999,0.005566399999999999,0.0013672,0.0023438,0.00019531,0.00039063,0.00097656,0.00634761,0.005859356,0.043261999999999995,0.008398451999999999,0.019628902000000007,0.0064453,0.00166018,0.0006835999999999999,0.01113278,0.00156248,0.0027344,0.00166011,0.00800781,0.00097656,0.00019531,0.0023438,0.08994183000000004,0.030078106000000028,0.001171876,0.0,0.000683596,0.019628866000000002,0.0,0.07939439600000016,0.00019531,0.03837881800000001,0.004980482,0.000488286,0.00244138,0.00341798,0.001757812,0.0032226620000000003,0.023339980000000003,0.00097656,0.017089820000000006,0.00839839,0.045606144,0.006347643999999999,9.7656e-05,0.025097750000000016,0.0027344279999999997,0.0,0.005371116,0.029199,0.00029297,0.04873038399999996,0.005273443999999999,0.007910127999999997,0.0047851679999999985,0.0018554699999999997,0.004003856,9.7656e-05,0.007031256,0.00019531,0.0040038899999999995
0.008941859999999998,0.0014903,0.007153510000000001,0.08613992,0.007153499999999999,0.00059613,0.0011923,0.00029806,0.00089419,0.0014903,0.01102806,0.010431999999999999,0.0348732,0.00357674,0.015499349999999999,0.0017884,0.0,0.0,0.009836119999999999,0.0,0.0068554,0.0014903,0.0098361,0.0,0.0,0.0041729,0.11236964000000005,0.027421819999999986,0.0011923,0.00029806,0.0011923,0.013710939999999998,0.0,0.07064145000000009,0.0,0.03010446999999999,0.0041728600000000005,0.00089419,0.00089419,0.00417289,0.0026825200000000003,0.00119225,0.016691700000000004,0.0,0.007451610000000001,0.00536513,0.030998539999999995,0.006259350000000001,0.0,0.029210409999999992,0.00178842,0.0,0.00536512,0.018182,0.0,0.032190799999999985,0.006557420000000002,0.005961250000000001,0.006259400000000001,0.0020864300000000002,0.0035767999999999998,0.00059613,0.010134200000000001,0.00029806,0.0041729
0.006645440000000001,0.00027689,0.010383560000000002,0.06977723000000001,0.0053994,0.0024920000000000003,0.0031843,0.00055379,0.00069223,0.0023536,0.0069223,0.012598999999999999,0.0397347,0.010937300000000002,0.025889509999999987,0.0088606,0.00207675,0.00041534,0.015367630000000002,0.0023536300000000002,0.0037381000000000003,0.0034611900000000003,0.013290999999999999,0.0031843,0.00013845,0.0030458,0.08140664999999998,0.023812959999999963,0.00110757,0.0,0.0009691300000000001,0.016059909999999997,0.0,0.07130030999999994,0.00027689,0.03751917999999995,0.00553787,0.00013845,0.00069223,0.00318425,0.00193824,0.00263048,0.013152440000000001,0.00027689,0.01910558,0.008306780000000001,0.059809119999999986,0.006091640000000001,0.00013845,0.027550899999999965,0.0022151799999999998,0.0,0.00858362,0.027274,0.00055379,0.047210359999999965,0.0077531200000000005,0.007614630000000001,0.005260990000000001,0.0027689500000000005,0.006091640000000001,0.0,0.0040149,0.00027689,0.006506960000000001
0.00674567,0.00016453,0.007897360000000003,0.0717349,0.0069102,0.0014808,0.0016453,0.00065811,0.00065811,0.0019743,0.0088845,0.01299753,0.0403096,0.008884490000000002,0.020236849999999994,0.009049100000000001,0.00164533,0.00032906,0.01711112,0.0018098100000000002,0.003126,0.00279701,0.01283353,0.00065811,0.00016453,0.0026324,0.07864416999999997,0.027311769999999982,0.00131623,0.0,0.00049359,0.01595912,0.0,0.08078351,0.00016453,0.03405727,0.00477132,0.00082264,0.00049359,0.00213892,0.00098717,0.00378415,0.018427089999999997,0.00065812,0.01974336,0.00970709,0.05445860000000002,0.0059229799999999996,0.00032906,0.02533731999999999,0.0006581099999999999,0.0,0.005923010000000001,0.032247000000000005,0.00065811,0.05297785000000009,0.007074750000000002,0.00888452,0.004277740000000001,0.0016452899999999998,0.00460677,0.0,0.007403730000000001,0.00032906,0.0085555
